filename,title,photographer,credit_line,year,location,allowed_use,level,notes
mirrou-keyvisual-monogram-mr-dark-01.jpg,Mirrou Monogram (MR) on Deep Ground,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-monogram-mr-diptych-02.jpg,Mirrou Monogram Diptych,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-monogram-mr-header-bar-03.jpg,Mirrou Monogram Header Bar,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-gold-diagonal-grid-04.jpg,Signature Light — Gold Diagonal,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Signature lighting study
mirrou-keyvisual-gold-horizon-rule-05.jpg,Gold Horizon Rule,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-eclipse-ring-06.jpg,Eclipse Ring on Grid,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-architectural-footer-07.jpg,Architectural Footer with Gold Rule,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,Background asset
mirrou-keyvisual-9square-vocabulary-08.jpg,Mirrou Visual Vocabulary (9-Square),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Brand-system explainer
mirrou-keyvisual-bottle-grid-mockup-09.jpg,Bottle Grid Mockup with Gold Bar,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-material-swatches-10.jpg,Mirrou Brand Material Swatches,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Black/Ivory/Gold/Grey
mirrou-keyvisual-3-objects-pedestal-11.jpg,Three Objects on Pedestal,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Brass/Glass/Metal trio
mirrou-keyvisual-isometric-cube-12.jpg,Isometric Cube Wireframe,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,System diagram
mirrou-keyvisual-mirrou-lens-macro-13.jpg,Mirrou Lens Macro (50mm 1.4),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Branded lens — Mirrou-marked
luminous-aura-hero-trio-marble-01.jpg,Luminous Aura — Hero Trio on Black Marble,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-radiancy-marble-02.jpg,Luminous Aura — Radiancy Serum Solo,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-mirrou-branded-03.jpg,Luminous Aura — Mirrou Branded Solo,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-luxury-50ml-smoke-04.jpg,Luminous Aura — Luxury Serum 50ml in Smoke,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-floating-gold-particles-05.jpg,Luminous Aura — Floating Bottle in Particles,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-geometric-spiral-06.jpg,Luminous Aura — Geometric Spiral Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-gold-bottle-marble-07.jpg,Luminous Aura — Gold Bottle on Marble,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-case-hero-01.jpg,Vitality Pulse — Case Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-energy-serum-final-02.jpg,Vitality Pulse — Energy Serum Final System Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-doppel-splash-03.jpg,Vitality Pulse — Synergy + Cellular Renewal Splash,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-solo-gold-edge-04.jpg,Vitality Pulse — Solo with Gold Edge Light,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-water-drops-macro-05.jpg,Vitality Pulse — Macro with Water Drops,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-forest-daily-pulse-06.jpg,Vitality Pulse — The Daily Pulse (Forest),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
