filename,short_caption,long_caption
mirrou-keyvisual-monogram-mr-dark-01.jpg,Mirrou monogram on deep ground.,The Mirrou Creative Studio MR monogram set in Mirrou Gold on Deep Ground. Used as the brand's primary identity anchor across press surfaces.
mirrou-keyvisual-monogram-mr-diptych-02.jpg,Mirrou monogram diptych — dark and grey.,The Mirrou monogram diptych pairs the dark editorial mark with a quieter grey divider — used to introduce sectional shifts inside the brand system.
mirrou-keyvisual-monogram-mr-header-bar-03.jpg,Mirrou monogram header bar.,The Mirrou header bar — dark base, gold rule and corner monogram — anchors the studio's editorial layout grid.
mirrou-keyvisual-gold-diagonal-grid-04.jpg,Signature light — gold diagonal on grid.,A single Mirrou Gold diagonal cuts a precise grid in deep space. The image anchors the studio's signature light language across press materials.
mirrou-keyvisual-gold-horizon-rule-05.jpg,Gold horizon rule on deep ground.,A single Mirrou Gold horizon rule on deep ground. The image holds tension and quiet — a recurring system signal in the Mirrou architecture.
mirrou-keyvisual-eclipse-ring-06.jpg,Eclipse — gold ring on grid.,A thin Mirrou Gold ring with a single side flare on grid background. The eclipse motif represents Mirrou's principle of restraint as authority.
mirrou-keyvisual-architectural-footer-07.jpg,Architectural footer with gold rule.,A dark grid footer with a single Mirrou Gold rule. Used as the architectural close to system documents.
mirrou-keyvisual-9square-vocabulary-08.jpg,Mirrou visual vocabulary — nine elements.,A nine-square tile of Mirrou's core visual vocabulary: rule, smoke, grid, splash, eclipse, network, particle, light beam.
mirrou-keyvisual-bottle-grid-mockup-09.jpg,Bottle grid mockup with gold bar.,A four-quadrant bottle grid with central Mirrou Gold bar. Used to demonstrate cross-format product system thinking.
mirrou-keyvisual-material-swatches-10.jpg,Mirrou material swatches.,The Mirrou brand palette in physical material form — black lacquer, ivory paper, brushed gold metal, grey ceramic — laid on Deep Ground.
mirrou-keyvisual-3-objects-pedestal-11.jpg,Three objects on pedestal — brass / glass / metal.,A brass plate, lit glass cube and dark metal cylinder on a pedestal. The image is a quiet portrait of the Mirrou material system.
mirrou-keyvisual-isometric-cube-12.jpg,Isometric cube — Mirrou system marker.,An isometric cube wireframe with gold node markers. Used as a recurring Mirrou system symbol.
mirrou-keyvisual-mirrou-lens-macro-13.jpg,Mirrou lens — 50mm 1.4 multi-coated.,A close-up of a Mirrou-marked 50mm 1.4 lens. The image asserts the studio's optical and craft layer.
luminous-aura-hero-trio-marble-01.jpg,Luminous Aura — hero trio on black marble.,Three Luminous Aura serums (Mirrou Radiance Serum) on black marble under controlled gold light. The image anchors the case's editorial language.
luminous-aura-solo-radiancy-marble-02.jpg,Luminous Aura — Radiancy Serum solo on marble.,A single Luminous Aura Radiancy Serum on black marble with a precise gold light cut. Hero frame for the case.
luminous-aura-solo-mirrou-branded-03.jpg,Luminous Aura — Mirrou-branded solo.,Mirrou-branded Luminous Aura serum on dark marble with a gold light angle. The image confirms the case as a Mirrou Creative Studio system.
luminous-aura-solo-luxury-50ml-smoke-04.jpg,Luminous Aura — luxury serum 50ml in gold smoke.,A Luminous Aura luxury serum 50ml in a soft gold smoke veil. Atmospheric frame for the case.
luminous-aura-floating-gold-particles-05.jpg,Luminous Aura — floating bottle in gold particles.,A floating Luminous Aura bottle suspended in gold particle dust. Vertical hero used for story formats.
luminous-aura-geometric-spiral-06.jpg,Luminous Aura — geometric spiral hero.,A Luminous Aura bottle inside a gold geometric spiral. The frame demonstrates the studio's sacred-geometry pass over beauty.
luminous-aura-gold-bottle-marble-07.jpg,Luminous Aura — gold bottle on marble.,A tall gold Luminous Aura bottle on dark marble with low gold smoke. Editorial vertical for press features.
vitality-pulse-case-hero-01.jpg,Vitality Pulse — case hero.,Vitality Pulse Energy Serum on a wet, dark surface with a single light beam. The hero frame for Mirrou's energy-serum visual system.
vitality-pulse-energy-serum-final-02.jpg,Vitality Pulse — Energy Serum (Final System Hero).,The Final System Hero of the Vitality Pulse case — amber bottle with structured molecular label on a low-key surface.
vitality-pulse-doppel-splash-03.jpg,Vitality Pulse — Synergy Boost + Cellular Renewal.,The Vitality Pulse pair (Synergy Boost + Cellular Renewal) caught in a controlled water splash on slate.
vitality-pulse-solo-gold-edge-04.jpg,Vitality Pulse — gold edge solo.,A Vitality Pulse bottle with a precise gold edge light on slate. Vertical hero for paid and story formats.
vitality-pulse-water-drops-macro-05.jpg,Vitality Pulse — macro with water drops.,A macro study of the Vitality Pulse bottle with controlled water drops. Used for product-storytelling layouts.
vitality-pulse-forest-daily-pulse-06.jpg,Vitality Pulse — The Daily Pulse (forest setting).,A Vitality Pulse Daily Pulse bottle in a moss forest with directional sunbeams. A counter-mode frame inside the case system.
vitality-pulse-adaptogen-flatlay-07.jpg,Vitality Pulse — adaptogen flatlay.,A Vitality Pulse bottle with adaptogenic ingredients (matcha, reishi, ginkgo, cardamom) on white marble. Educational frame for the case.
